New York (Central Park), New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1930-2000
Missing: -99
Date,Value,Anomaly
193301,38.8,7.2
193302,32.5,-0.7
193303,37.3,-3.4
193304,49.6,-1.7
193305,63.6,1.6
193306,71.8,0.5
193307,75.2,-1.1
193308,74.1,-0.5
193309,68.6,1.1
193310,55.0,-1.9
193311,40.4,-5.7
193312,31.7,-4.1
193401,33.4,1.8
193402,18.6,-14.6
193403,36.2,-4.5
193404,49.4,-1.9
193405,62.9,0.9
193406,73.2,1.9
193407,77.1,0.8
193408,71.2,-3.4
193409,68.3,0.8
193410,53.4,-3.5
193411,47.4,1.3
193412,32.4,-3.4
193501,27.6,-4.0
193502,29.9,-3.3
193503,42.3,1.6
193504,48.8,-2.5
193505,59.1,-2.9
193506,69.5,-1.8
193507,76.6,0.3
193508,73.9,-0.7
193509,64.4,-3.1
193510,56.3,-0.6
193511,47.2,1.1
193512,29.0,-6.8
193601,28.1,-3.5
193602,24.4,-8.8
193603,44.1,3.4
193604,47.0,-4.3
193605,63.6,1.6
193606,69.2,-2.1
193607,75.6,-0.7
193608,74.7,0.1
193609,67.2,-0.3
193610,56.4,-0.5
193611,41.2,-4.9
193612,37.5,1.7
193701,39.0,7.4
193702,33.5,0.3
193703,35.4,-5.3
193704,48.8,-2.5
193705,63.4,1.4
193706,71.3,0.0
193707,76.0,-0.3
193708,75.9,1.3
193709,65.1,-2.4
193710,54.0,-2.9
193711,44.9,-1.2
193712,34.4,-1.4
193801,30.9,-0.7
193802,34.1,0.9
193803,43.1,2.4
193804,52.8,1.5
193805,60.0,-2.0
193806,69.7,-1.6
193807,76.0,-0.3
193808,77.4,2.8
193809,65.1,-2.4
193810,58.7,1.8
193811,46.8,0.7
193812,35.9,0.1
193901,31.0,-0.6
193902,35.7,2.5
193903,38.1,-2.6
193904,47.4,-3.9
193905,64.2,2.2
193906,72.4,1.1
193907,76.0,-0.3
193908,77.3,2.7
193909,67.7,0.2
193910,56.2,-0.7
193911,42.2,-3.9
193912,35.9,0.1
194001,23.8,-7.8
194002,31.6,-1.6
194003,34.0,-6.7
194004,46.0,-5.3
194005,59.9,-2.1
194006,69.9,-1.4
194007,75.6,-0.7
194008,70.6,-4.0
194009,65.7,-1.8
194010,52.6,-4.3
194011,43.9,-2.2
194012,37.4,1.6
194101,28.2,-3.4
194102,29.8,-3.4
