San Francisco, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1946-2000
Missing: -99
Date,Value,Anomaly
200611,55.5,0.8
200612,50.3,1.1
200701,48.0,-0.4
200702,52.4,0.9
200703,55.9,3.0
200704,56.0,0.7
200705,58.8,0.7
200706,61.3,0.2
200707,64.1,1.7
200708,64.4,1.1
200709,64.2,0.3
200710,59.9,-0.9
200711,55.7,1.0
200712,49.5,0.3
200801,48.4,0.0
200802,51.7,0.2
200803,53.7,0.8
200804,55.4,0.1
200805,58.7,0.6
200806,61.5,0.4
200807,62.8,0.4
200808,64.4,1.1
200809,65.0,1.1
200810,63.2,2.4
200811,57.8,3.1
200812,48.9,-0.3
200901,51.3,2.9
200902,52.1,0.6
200903,53.7,0.8
200904,56.4,1.1
200905,59.4,1.3
200906,62.9,1.8
200907,62.2,-0.2
200908,65.6,2.3
200909,66.2,2.3
200910,61.8,1.0
200911,56.6,1.9
200912,49.2,0.0
201001,51.2,2.8
201002,54.0,2.5
201003,55.1,2.2
201004,55.5,0.2
201005,57.6,-0.5
201006,62.4,1.3
201007,63.0,0.6
201008,63.5,0.2
201009,68.5,4.6
201010,65.1,4.3
201011,55.0,0.3
201012,52.1,2.9
201101,50.5,2.1
201102,50.6,-0.9
201103,53.7,0.8
201104,55.5,0.2
201105,56.9,-1.2
201106,60.5,-0.6
201107,62.7,0.3
201108,62.2,-1.1
201109,64.7,0.8
201110,63.0,2.2
201111,53.8,-0.9
201112,49.3,0.1
201201,50.5,2.1
201202,52.2,0.7
201203,53.3,0.4
201204,56.9,1.6
201205,58.4,0.3
201206,61.4,0.3
201207,62.4,0.0
201208,61.6,-1.7
201209,60.6,-3.3
201210,63.4,2.6
201211,58.1,3.4
201212,51.9,2.7
201301,48.6,0.2
201302,50.9,-0.6
201303,54.6,1.7
201304,58.5,3.2
201305,60.4,2.3
201306,62.7,1.6
201307,62.8,0.4
201308,64.4,1.1
201309,65.5,1.6
201310,-99.0,-159.8
201311,-99.0,-153.7
201312,-99.0,-148.2
201401,-99.0,-147.4
201402,-99.0,-150.5
201403,-99.0,-151.9
201404,-99.0,-154.3
201405,-99.0,-157.1
201406,-99.0,-160.1
201407,-99.0,-161.4
201408,-99.0,-162.3
201409,-99.0,-162.9
201410,-99.0,-159.8
201411,-99.0,-153.7
201412,-99.0,-148.2
201501,-99.0,-147.4
201502,-99.0,-150.5
201503,-99.0,-151.9
201504,-99.0,-154.3
201505,58.5,0.4
201506,62.8,1.7
201507,66.6,4.2
201508,68.0,4.7
201509,67.1,3.2
201510,65.6,4.8
201511,54.3,-0.4
201512,50.5,1.3
201601,52.7,4.3
201602,56.9,5.4
201603,57.7,4.8
201604,60.3,5.0
201605,61.1,3.0
201606,63.4,2.3
201607,62.9,0.5
201608,63.8,0.5
201609,64.8,0.9
201610,63.4,2.6
201611,58.3,3.6
201612,50.7,1.5
201701,50.6,2.2
201702,54.5,3.0
201703,56.9,4.0
201704,58.4,3.1
201705,60.9,2.8
201706,63.2,2.1
201707,64.3,1.9
201708,65.9,2.6
201709,69.8,5.9
201710,64.2,3.4
201711,58.1,3.4
201712,51.9,2.7
201801,53.5,5.1
201802,54.9,3.4
201803,55.2,2.3
201804,58.3,3.0
201805,60.5,2.4
201806,62.9,1.8
